img_path,comm_snr,radar_feat,radar_max,radar_std,radar_peak_idx,channel_type,path_loss,shadow_fading,rain_attenuation,target_rcs,bandwidth,modulation,ber
train2017\guatemala-volcano_00000000_post_disaster.png,15.272219249557914,-86.5153443358447,75.15185254108296,13.727835174772553,552,Rician,164.05908657942032,0.4947702497524487,12.698267304828235,1.0,59.798491165208326,16QAM,0.03344472241723728
train2017\guatemala-volcano_00000000_pre_disaster.png,21.439883044461347,-83.54371801062587,45.46438021562207,8.007096092245408,503,Rician,160.94885161675342,4.618480977932584,8.876315222166793,1.0,64.30925240919024,16QAM,0.008738147862700718
train2017\guatemala-volcano_00000001_post_disaster.png,21.707970044559254,-84.7357116758547,36.62493508759563,7.516920619041331,38,Rician,160.2883486037405,0.5455013121554914,8.22635725502824,1.0,40.69608980618364,16QAM,0.008227897789374494
train2017\guatemala-volcano_00000001_pre_disaster.png,-36.60943568595158,-108.9981806627663,53.001494265448216,9.369906040717321,486,Rician,173.71031011104222,-1.1147227192832279,38.574973956874636,1.0,59.095843823947774,QPSK,0.4926132938679223
train2017\guatemala-volcano_00000002_post_disaster.png,-18.952832796051705,-105.91278707430749,52.49306981449794,8.762528179057048,225,Rician,170.69609050800892,0.8304700418339053,27.264319433021956,1.0,63.09054866759243,QPSK,0.44394914667198526
train2017\guatemala-volcano_00000002_pre_disaster.png,-7.593269613948868,-98.87554330567411,80.44897660008805,12.41539956191527,586,Rician,170.2322051625257,0.46590721357614034,25.846419812239347,1.0,67.22422898690033,QPSK,0.3074855643613468
train2017\guatemala-volcano_00000006_post_disaster.png,-28.174488801246504,-104.42704428773958,68.84870127829056,12.385105450286337,215,Rician,173.2999908352016,-1.1591456069225379,36.79507374994344,1.0,54.23154111581045,QPSK,0.4805053602662927
train2017\guatemala-volcano_00000006_pre_disaster.png,-11.81601063851989,-101.85115916582711,62.755133195409414,11.367225491896804,61,Rician,168.9785986996472,-2.26377442735636,22.372786124472515,1.0,58.20319572267817,QPSK,0.37574145274436493
train2017\guatemala-volcano_00000007_post_disaster.png,30.827201661016318,-75.58136819150643,66.09012636080564,11.46361306236836,573,Rician,157.83385046283868,-1.3283862088641345,6.2012988208505675,1.0,67.3179806911451,16QAM,0.0010300213674048764
train2017\guatemala-volcano_00000007_pre_disaster.png,25.703554755935016,-68.305161728864,53.195679918806945,9.38860617452674,77,Rician,152.25819209343882,-3.2363041374407304,3.2636211629570027,1.0,63.83970520681415,16QAM,0.0033281388995900496
train2017\guatemala-volcano_00000008_post_disaster.png,-23.316281417305685,-102.44422614430374,62.75248638976843,10.72491837712826,2,Rician,170.2123698033353,-1.6828914150399636,25.78746349231528,1.0,66.64824555597961,QPSK,0.4659477031746101
train2017\guatemala-volcano_00000008_pre_disaster.png,37.820759652807794,-68.91615161679377,53.112306014055086,9.515651256413083,50,Rician,152.92127564052845,-1.9154048500778154,3.5225236531436566,1.0,56.15350120364331,16QAM,0.00020633132036057544
train2017\guatemala-volcano_00000010_post_disaster.png,-21.07723700034621,-108.18385648987197,41.77562242991233,7.377889831841429,25,Rician,170.51194974150005,-1.5399525364464552,26.692399919395086,1.0,48.5841899236674,QPSK,0.4560032826919009
train2017\guatemala-volcano_00000010_pre_disaster.png,-22.21429022749509,-109.24675573548734,34.619422225800186,6.283209064168287,513,Rician,171.50616328806348,-0.6227423582724628,29.92941997379458,1.0,55.08700109484617,QPSK,0.4613672832119134
train2017\guatemala-volcano_00000013_post_disaster.png,-7.778837175771033,-101.33153425533807,30.94190496901601,5.127342912767374,593,Rician,168.12346437320915,0.15084447118239627,20.275116327706364,1.0,47.265856450417964,QPSK,0.3109678664134924
train2017\guatemala-volcano_00000013_pre_disaster.png,-17.176096380806396,-105.74710993673322,43.391598848922996,7.956828722490325,201,Rician,170.8317654018288,-0.7215706718383258,27.693535659682066,1.0,43.08550096074094,QPSK,0.4314442243978012
train2017\guatemala-volcano_00000015_post_disaster.png,-33.623900396370786,-109.96030032346118,39.82721038394284,7.535437498386662,16,Rician,172.7087362519863,2.621914793248543,34.3737527347906,1.0,66.16011769042765,QPSK,0.48958448528133797
train2017\guatemala-volcano_00000015_pre_disaster.png,3.323734311882715,-95.4999061064506,40.84254712392302,7.8844224520436255,564,Rician,167.36624754310893,-2.9956571093380475,18.582430326994665,1.0,42.571574943538515,QPSK,0.08693001883416585
train2017\guatemala-volcano_00000016_post_disaster.png,-10.708681150341857,-101.73105077896315,41.630178673495074,8.434679190883493,91,Rician,169.70481010913602,0.6560586406113373,24.32375618091613,1.0,40.74718968641155,QPSK,0.36009529572201404
train2017\guatemala-volcano_00000016_pre_disaster.png,32.46619882894525,-73.15461212127668,39.84192804538883,6.708219102868872,10,Rician,153.0429801498299,-2.037536279815096,3.5722277796688497,1.0,44.02604828836035,16QAM,0.0007069168595705833
train2017\guatemala-volcano_00000017_post_disaster.png,-2.531922494644234,-97.27206665589898,50.03725618490412,8.782271540291287,170,Rician,168.13770098403225,-0.3882863030231202,20.308375514382973,1.0,52.513722122010705,QPSK,0.20073283462474384
train2017\guatemala-volcano_00000017_pre_disaster.png,-39.59142363942844,-108.08217541417092,57.471685269606375,9.524036959102867,113,Rician,173.2358621275019,4.713842088574053,36.52441278380526,1.0,65.10579837920858,QPSK,0.49475947295160566
train2017\guatemala-volcano_00000018_post_disaster.png,-11.58128416327834,-99.45452503252461,62.145345971782085,12.385705777640096,187,Rician,169.2074300250548,0.46519998930536144,22.970033957532703,1.0,49.36304065438753,QPSK,0.37255609211274776
train2017\guatemala-volcano_00000018_pre_disaster.png,1.6545866634879176,-94.10952530664053,47.481073805544156,8.609004398250546,28,Rician,166.7035983131126,-1.3247766135805563,17.217498413265204,1.0,55.75508391974122,QPSK,0.11460731507649291
train2017\guatemala-volcano_00000019_post_disaster.png,-37.1685907621541,-111.96677366053524,36.03315201021642,7.260415531957538,510,Rician,173.82054537838331,-2.330511881045241,39.06766048880478,1.0,64.41891370854731,QPSK,0.49307373994977716
